indicator,indicator_type,meta.source,meta.do_notice,meta.desc
98.87.14.131,Intel::ADDR,ABUSE-CH,F,THREATFOX
98.87.14.131,Intel::ADDR,ABUSE-CH,F,THREATFOX
16.62.182.148,Intel::ADDR,ABUSE-CH,F,THREATFOX
51.34.39.210,Intel::ADDR,ABUSE-CH,F,THREATFOX
51.34.39.210,Intel::ADDR,ABUSE-CH,F,THREATFOX
3.101.68.203,Intel::ADDR,ABUSE-CH,F,THREATFOX
202.154.57.243,Intel::ADDR,ABUSE-CH,F,THREATFOX
56.155.134.1,Intel::ADDR,ABUSE-CH,F,THREATFOX
45.154.14.198,Intel::ADDR,ABUSE-CH,F,THREATFOX
51.92.133.116,Intel::ADDR,ABUSE-CH,F,THREATFOX
3.76.221.150,Intel::ADDR,ABUSE-CH,F,THREATFOX
43.218.142.62,Intel::ADDR,ABUSE-CH,F,THREATFOX
15.152.32.77,Intel::ADDR,ABUSE-CH,F,THREATFOX
35.156.125.68,Intel::ADDR,ABUSE-CH,F,THREATFOX
35.179.184.162,Intel::ADDR,ABUSE-CH,F,THREATFOX
196.64.99.44,Intel::ADDR,ABUSE-CH,F,THREATFOX
154.49.3.5,Intel::ADDR,ABUSE-CH,F,THREATFOX
3.104.55.247,Intel::ADDR,ABUSE-CH,F,THREATFOX
18.61.174.127,Intel::ADDR,ABUSE-CH,F,THREATFOX
13.125.83.92,Intel::ADDR,ABUSE-CH,F,THREATFOX
54.208.219.106,Intel::ADDR,ABUSE-CH,F,THREATFOX
35.183.87.169,Intel::ADDR,ABUSE-CH,F,THREATFOX
43.198.244.200,Intel::ADDR,ABUSE-CH,F,THREATFOX
18.231.250.173,Intel::ADDR,ABUSE-CH,F,THREATFOX
100.25.214.200,Intel::ADDR,ABUSE-CH,F,THREATFOX
146.56.191.27,Intel::ADDR,ABUSE-CH,F,THREATFOX
35.158.22.46,Intel::ADDR,ABUSE-CH,F,THREATFOX
16.26.48.135,Intel::ADDR,ABUSE-CH,F,THREATFOX
16.26.48.135,Intel::ADDR,ABUSE-CH,F,THREATFOX
16.26.48.135,Intel::ADDR,ABUSE-CH,F,THREATFOX
54.185.200.29,Intel::ADDR,ABUSE-CH,F,THREATFOX
54.185.200.29,Intel::ADDR,ABUSE-CH,F,THREATFOX
16.51.57.104,Intel::ADDR,ABUSE-CH,F,THREATFOX
221.214.111.106,Intel::ADDR,ABUSE-CH,F,THREATFOX
18.153.73.120,Intel::ADDR,ABUSE-CH,F,THREATFOX
103.108.41.91,Intel::ADDR,ABUSE-CH,F,THREATFOX
54.95.136.121,Intel::ADDR,ABUSE-CH,F,THREATFOX
54.95.136.121,Intel::ADDR,ABUSE-CH,F,THREATFOX
35.152.136.168,Intel::ADDR,ABUSE-CH,F,THREATFOX
13.233.204.232,Intel::ADDR,ABUSE-CH,F,THREATFOX
146.190.51.91,Intel::ADDR,ABUSE-CH,F,THREATFOX
51.17.225.172,Intel::ADDR,ABUSE-CH,F,THREATFOX
104.131.46.55,Intel::ADDR,ABUSE-CH,F,THREATFOX
3.106.197.25,Intel::ADDR,ABUSE-CH,F,THREATFOX
77.246.99.16,Intel::ADDR,ABUSE-CH,F,THREATFOX
15.237.220.179,Intel::ADDR,ABUSE-CH,F,THREATFOX
16.51.131.120,Intel::ADDR,ABUSE-CH,F,THREATFOX
16.24.171.26,Intel::ADDR,ABUSE-CH,F,THREATFOX
18.116.15.54,Intel::ADDR,ABUSE-CH,F,THREATFOX
141.11.208.189,Intel::ADDR,ABUSE-CH,F,THREATFOX
43.163.116.82,Intel::ADDR,ABUSE-CH,F,THREATFOX
8.152.99.85,Intel::ADDR,ABUSE-CH,F,THREATFOX
114.132.150.96,Intel::ADDR,ABUSE-CH,F,THREATFOX
154.17.12.95,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.89.173.214,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.89.173.214,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.89.173.214,Intel::ADDR,ABUSE-CH,F,THREATFOX
43.138.30.109,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.90.142.15,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.90.142.15,Intel::ADDR,ABUSE-CH,F,THREATFOX
176.124.33.200,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.90.142.15,Intel::ADDR,ABUSE-CH,F,THREATFOX
176.124.33.200,Intel::ADDR,ABUSE-CH,F,THREATFOX
173.44.62.110,Intel::ADDR,ABUSE-CH,F,THREATFOX
38.207.178.63,Intel::ADDR,ABUSE-CH,F,THREATFOX
38.207.178.63,Intel::ADDR,ABUSE-CH,F,THREATFOX
45.192.99.52,Intel::ADDR,ABUSE-CH,F,THREATFOX
107.175.36.100,Intel::ADDR,ABUSE-CH,F,THREATFOX
107.175.36.100,Intel::ADDR,ABUSE-CH,F,THREATFOX
129.226.212.179,Intel::ADDR,ABUSE-CH,F,THREATFOX
165.154.225.50,Intel::ADDR,ABUSE-CH,F,THREATFOX
148.135.138.44,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.106.229.212,Intel::ADDR,ABUSE-CH,F,THREATFOX
188.166.242.89,Intel::ADDR,ABUSE-CH,F,THREATFOX
45.150.109.80,Intel::ADDR,ABUSE-CH,F,THREATFOX
45.150.109.80,Intel::ADDR,ABUSE-CH,F,THREATFOX
116.62.38.44,Intel::ADDR,ABUSE-CH,F,THREATFOX
101.226.8.163,Intel::ADDR,ABUSE-CH,F,THREATFOX
60.204.169.16,Intel::ADDR,ABUSE-CH,F,THREATFOX
60.204.169.16,Intel::ADDR,ABUSE-CH,F,THREATFOX
101.226.8.163,Intel::ADDR,ABUSE-CH,F,THREATFOX
112.124.71.123,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.100.183.39,Intel::ADDR,ABUSE-CH,F,THREATFOX
49.233.32.31,Intel::ADDR,ABUSE-CH,F,THREATFOX
118.25.148.25,Intel::ADDR,ABUSE-CH,F,THREATFOX
128.199.161.92,Intel::ADDR,ABUSE-CH,F,THREATFOX
8.130.81.101,Intel::ADDR,ABUSE-CH,F,THREATFOX
111.231.23.22,Intel::ADDR,ABUSE-CH,F,THREATFOX
205.198.79.169,Intel::ADDR,ABUSE-CH,F,THREATFOX
36.133.13.147,Intel::ADDR,ABUSE-CH,F,THREATFOX
81.70.37.146,Intel::ADDR,ABUSE-CH,F,THREATFOX
43.156.58.35,Intel::ADDR,ABUSE-CH,F,THREATFOX
43.156.58.35,Intel::ADDR,ABUSE-CH,F,THREATFOX
8.140.239.162,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.76.245.206,Intel::ADDR,ABUSE-CH,F,THREATFOX
8.217.163.112,Intel::ADDR,ABUSE-CH,F,THREATFOX
179.43.186.223,Intel::ADDR,ABUSE-CH,F,THREATFOX
178.236.252.92,Intel::ADDR,ABUSE-CH,F,THREATFOX
193.37.69.42,Intel::ADDR,ABUSE-CH,F,THREATFOX
43.138.108.85,Intel::ADDR,ABUSE-CH,F,THREATFOX
202.146.218.74,Intel::ADDR,ABUSE-CH,F,THREATFOX
8.137.114.210,Intel::ADDR,ABUSE-CH,F,THREATFOX
138.124.15.54,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.113.217.92,Intel::ADDR,ABUSE-CH,F,THREATFOX
78.40.193.114,Intel::ADDR,ABUSE-CH,F,THREATFOX
137.220.146.153,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.113.217.92,Intel::ADDR,ABUSE-CH,F,THREATFOX
156.233.233.134,Intel::ADDR,ABUSE-CH,F,THREATFOX
1.15.174.189,Intel::ADDR,ABUSE-CH,F,THREATFOX
169.239.128.103,Intel::ADDR,ABUSE-CH,F,THREATFOX
120.48.25.39,Intel::ADDR,ABUSE-CH,F,THREATFOX
179.43.186.243,Intel::ADDR,ABUSE-CH,F,THREATFOX
179.43.186.243,Intel::ADDR,ABUSE-CH,F,THREATFOX
39.97.161.126,Intel::ADDR,ABUSE-CH,F,THREATFOX
45.115.236.152,Intel::ADDR,ABUSE-CH,F,THREATFOX
45.32.11.81,Intel::ADDR,ABUSE-CH,F,THREATFOX
110.40.176.194,Intel::ADDR,ABUSE-CH,F,THREATFOX
8.141.15.41,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.100.63.226,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.100.63.226,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.100.63.226,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.100.63.226,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.100.63.226,Intel::ADDR,ABUSE-CH,F,THREATFOX
193.37.69.43,Intel::ADDR,ABUSE-CH,F,THREATFOX
84.21.172.89,Intel::ADDR,ABUSE-CH,F,THREATFOX
91.208.162.61,Intel::ADDR,ABUSE-CH,F,THREATFOX
193.37.69.43,Intel::ADDR,ABUSE-CH,F,THREATFOX
88.119.169.37,Intel::ADDR,ABUSE-CH,F,THREATFOX
154.201.74.112,Intel::ADDR,ABUSE-CH,F,THREATFOX
112.213.108.49,Intel::ADDR,ABUSE-CH,F,THREATFOX
192.253.229.133,Intel::ADDR,ABUSE-CH,F,THREATFOX
35.222.201.2,Intel::ADDR,ABUSE-CH,F,THREATFOX
